time,calories,total
20:20:00,1.46002995967865,2236.5413472652435
20:30:00,1.46002995967865,2251.70319712162
20:40:00,1.3477200269699097,2265.6296371221542
20:50:00,1.46002995967865,2283.3746169805527
21:00:00,1.46002995967865,2297.525676846504
21:10:00,3.5939199924468994,2317.966096639633
21:20:00,1.3477200269699097,2332.341776371002
21:30:00,1.3477200269699097,2346.2682163715363
21:40:00,1.46002995967865,2360.1946563720703
21:50:00,6.963220119476318,2394.2245866060257
22:00:00,6.73859977722168,2448.470316052437
22:10:00,1.46002995967865,2486.9926455020905
22:20:00,3.14468002319336,2505.411485314369
22:30:00,7.187839984893799,2563.8126851320267
22:40:00,6.963220119476318,2634.3433648347855
22:50:00,1.3477200269699097,2656.019194483757
23:00:00,1.3477200269699097,2669.8333245515823
